,Unnamed: 0,ID,Veracity,Author,Link,Category,Date,Tokens,Words,Types,Links Inside,Words Uppercase,Verbs,Subjuntive\Imperative Verbs,Nouns,Adjectives,Adverbs,Modal Verbs,Singular\Second Personal Pronouns,Plural First Personal Pronouns,Pronouns,Pausality,Characters,Average Sentence Length,Average Word Length,Percentage of Spelling Errors,Emotiveness,Diversity
0,1,1,fake-meta-information,mrk,https://ceticismopolitico.com/2017/11/30/katia-abreu-diz-que-vai-colocar-sua-expulsao-em-uma-moldura-mas-nao-para-de-reclamar/,politica,2017-11-30 00:00:00,211,185,120,0,6,30,1,46,7,13,5,2,0,26,2.0,815,14.2308,4.40541,0.0,0.263158,0.648649
1,10,10,fake-meta-information,None,https://ceticismopolitico.com/2017/11/24/dr-ray-peita-bolsonaro-chama-o-de-conservador-fake-em-entrevista-a-danilo-gentili-e-divide-a-direita/,politica,2017-11-24 00:00:00,289,254,163,0,0,56,8,64,11,18,11,1,0,20,2.5,1205,18.1429,4.74409,0.00787402,0.24166700000000002,0.641732
2,100,100,fake-meta-information,None,https://afolhabrasil.com.br/politica/reinaldo-azevedo-desmascarado-pela-policia-federal/,politica,2017-05-23 00:00:00,304,275,170,0,0,45,1,88,9,8,8,0,0,18,1.8125,1344,17.1875,4.88727,0.00363636,0.12782000000000002,0.618182
3,1000,1000,fake-meta-information,None,https://www.diariodobrasil.org/relatorio-assustador-do-bndes-mostra-dinheiro-publico-do-brasil-jorrando-em-paises-comunistas/,politica,2017-07-24 00:00:00,639,572,316,1,14,87,7,175,39,21,14,0,0,34,2.68,3122,22.88,5.4580400000000004,0.00174825,0.229008,0.5524479999999999
4,1001,1001,fake-meta-information,None,https://www.diariodobrasil.org/radialista-americano-detona-o-pt-a-esquerda-so-vende-ilusao-eles-so-pensam-em-se-divertir-no-sitio/,politica,2017-07-25 00:00:00,128,111,82,0,1,21,0,31,6,8,1,1,0,12,0.8947370000000001,515,5.84211,4.63964,0.0,0.269231,0.738739
5,1002,1002,fake-meta-information,None,https://www.diariodobrasil.org/situacao-de-waack-e-mais-grave-do-que-se-pensava-apresentador-continuara-internado-no-sirio-libanes/,tv_celebridades,2017-07-25 00:00:00,103,93,68,0,0,14,0,27,6,5,3,0,0,4,1.25,510,11.625,5.48387,0.0107527,0.268293,0.731183
6,1003,1003,fake-meta-information,None,https://www.diariodobrasil.org/problema-cardiaco-tira-william-waack-do-jornal-da-globo-apresentador-sera-operado-amanha/,sociedade_cotidiano,2017-07-21 00:00:00,109,96,79,0,0,17,0,26,7,6,2,0,0,1,1.18182,505,8.727269999999999,5.26042,0.0,0.30232600000000004,0.822917
7,1004,1004,fake-meta-information,None,https://www.diariodobrasil.org/edir-macedo-podera-disputar-as-eleicoes-presidenciais-de-2018/,politica,2017-07-20 00:00:00,242,209,150,0,5,31,1,57,20,15,5,0,0,11,2.5384599999999997,1074,16.0769,5.1387599999999996,0.0,0.397727,0.717703
8,1005,1005,fake-meta-information,None,https://www.diariodobrasil.org/boechat-sobre-lula-sua-alma-pode-ser-honesta-mas-no-seu-governo-fez-se-o-diabo/,politica,2017-07-21 00:00:00,105,79,48,0,3,17,1,20,3,5,2,0,0,12,1.44444,323,4.38889,4.08861,0.0,0.216216,0.607595
9,1006,1006,fake-meta-information,None,https://www.diariodobrasil.org/pt-diz-que-lula-nao-tem-dinheiro-para-sobreviver-e-chama-moro-de-mentirosomesquinho-e-conspirador/,politica,2017-07-20 00:00:00,207,188,124,0,3,26,0,54,14,6,0,0,0,9,2.375,852,23.5,4.53191,0.0,0.25,0.659574
10,1007,1007,fake-meta-information,None,https://www.diariodobrasil.org/numero-de-fuzilados-durante-o-regime-de-fidel-castro-pode-ter-chegado-a-casa-dos-17-mil/,sociedade_cotidiano,2017-07-22 00:00:00,303,255,165,1,1,31,0,69,9,12,7,0,0,3,2.52632,1171,13.4211,4.59216,0.0196078,0.21,0.647059
11,1008,1008,fake-meta-information,None,https://www.diariodobrasil.org/coodenador-da-lava-jato-se-revolta-aumento-de-impostos-os-corruptos-desviam-200-bilhoes-por-ano/,politica,2017-07-21 00:00:00,179,151,110,0,1,27,1,46,6,3,4,1,0,10,1.4736799999999999,772,7.947369999999999,5.11258,0.0,0.12328800000000001,0.728477
12,1009,1009,fake-meta-information,None,https://www.diariodobrasil.org/lula-voce-nao-sabe-o-que-esse-moleque-sofreu-por-ser-dono-da-friboi/,tv_celebridades,2017-07-21 00:00:00,217,182,124,0,3,30,4,42,5,13,1,4,0,23,2.91667,748,15.1667,4.10989,0.00549451,0.25,0.681319
13,101,101,fake-meta-information,None,https://afolhabrasil.com.br/politica/urgente-janot-pede-prisao-de-aecio-neves/,politica,2017-05-22 00:00:00,179,152,101,0,7,23,0,52,6,2,2,0,0,3,3.8571400000000002,812,21.7143,5.34211,0.0,0.10666700000000001,0.664474
14,1010,1010,fake-meta-information,None,https://www.diariodobrasil.org/lula-recebe-intimacao-da-justica-e-escreve-com-letras-esgarranchadas-pretendo-recorrer/,politica,2017-07-19 00:00:00,117,97,74,0,0,19,0,28,6,2,1,0,0,7,2.0,491,9.7,5.06186,0.0,0.170213,0.762887
15,1011,1011,fake-meta-information,None,https://www.diariodobrasil.org/americano-revoltado-escreve-texto-e-viraliza-na-internet-20-razoes-porque-eu-odeio-o-brasil-e-os-brasileiros/,tv_celebridades,2017-07-19 00:00:00,858,719,412,1,0,150,4,153,42,60,18,2,0,72,1.37624,3375,7.118810000000001,4.69402,0.00834492,0.336634,0.573018
16,1012,1012,fake-meta-information,None,https://www.diariodobrasil.org/ministro-da-defesa-nao-descarta-intervencao-militar-se-os-politicos-nao-resolverem-a-crise/,politica,2017-07-21 00:00:00,219,175,118,1,2,33,3,53,8,9,6,0,0,13,1.83333,839,7.29167,4.79429,0.0114286,0.197674,0.6742859999999999
17,1013,1013,fake-meta-information,None,https://www.diariodobrasil.org/diogo-portugal-da-conselho-valioso-para-lula-viu-o-eike-corre-e-compra-um-diploma-ainda-da-tempo/,politica,2017-07-20 00:00:00,133,103,77,0,0,21,0,29,5,9,1,0,0,5,2.5,482,8.58333,4.67961,0.0,0.28,0.7475729999999999
18,1014,1014,fake-meta-information,None,https://www.diariodobrasil.org/internauta-rebate-texto-de-americano-que-criticou-o-brasil-antes-de-falar-verifique-as-mazelas-de-seu-pais/,tv_celebridades,2017-07-21 00:00:00,573,478,297,1,1,76,3,123,40,44,7,0,0,43,3.65385,2381,18.3846,4.98117,0.00209205,0.42211099999999996,0.6213390000000001
19,1015,1015,fake-meta-information,None,https://www.diariodobrasil.org/fundo-de-pensao-de-lula-tem-dinheiro-da-globo-microsoft-lojas-americanas-e-nestle/,politica,2017-07-22 00:00:00,231,184,130,0,9,31,0,55,5,15,5,0,0,11,2.47368,843,9.68421,4.581519999999999,0.0108696,0.232558,0.706522
20,1016,1016,fake-meta-information,None,https://www.diariodobrasil.org/irene-ravache-se-revolta-com-a-soltura-da-assassina-de-isabella-nardoni-somos-maes-e-nao-aceitamos-isso/,tv_celebridades,2017-07-18 00:00:00,270,219,137,0,2,33,1,68,16,10,5,0,0,13,2.6842099999999998,1039,11.5263,4.74429,0.0,0.25742600000000004,0.625571
21,1017,1017,fake-meta-information,None,https://www.diariodobrasil.org/jornalista-encurrala-rodrigo-maia-o-sr-vai-dar-um-golpe-no-temer-assim-como-ele-fez-com-a-dilma/,politica,2017-07-18 00:00:00,109,85,56,0,1,17,0,23,0,2,2,3,0,9,2.0,395,7.08333,4.64706,0.0,0.05,0.658824
22,1018,1018,fake-meta-information,None,https://www.diariodobrasil.org/vereador-que-matou-cascavel-com-mordida-recebe-alta-de-hospital-ela-me-mordeu-e-eu-dei-o-troco/,sociedade_cotidiano,2017-07-18 00:00:00,153,127,90,0,1,24,1,35,8,6,3,4,0,12,2.36364,556,11.5455,4.37795,0.0,0.237288,0.708661
23,1019,1019,fake-meta-information,None,https://www.diariodobrasil.org/deputado-extrapola-o-bom-senso-e-chama-gloria-pires-e-wagner-moura-de-vagabundos-da-lei-rouanet/,politica,2017-07-18 00:00:00,199,170,120,0,2,27,1,52,10,9,6,0,0,14,1.7058799999999998,825,10.0,4.85294,0.00588235,0.240506,0.705882
24,102,102,fake-meta-information,None,https://afolhabrasil.com.br/politica/mae-que-furtou-ovo-de-pascoa-recebeu-pena-maior-que-reus-da-lava-jato/,politica,2017-05-22 00:00:00,347,311,178,0,3,46,0,87,19,5,7,0,0,13,2.0,1427,17.2778,4.588419999999999,0.0,0.180451,0.572347
25,1020,1020,fake-meta-information,None,https://www.diariodobrasil.org/e-impossivel-repetir-meu-sucesso-disse-lula-ao-jornal-ingles-the-guardian/,politica,2017-07-18 00:00:00,225,185,133,1,3,39,0,41,16,10,1,3,0,22,2.3529400000000003,884,10.8824,4.77838,0.0,0.325,0.718919
