,TextBlob Polarity,TextBlob Subjectivity,VADER negative,VADER neutral,VADER positive,VADER compound
1,0.0,0.0,0.0,1.0,0.0,0.0
10,0.0,0.0,0.0,1.0,0.0,0.0
100,-0.1,0.1,0.028,0.972,0.0,-0.7717
1000,0.0,0.0,0.019,0.981,0.0,-0.8402
1001,0.0,0.0,0.054,0.946,0.0,-0.6808
1002,0.0,0.0,0.068,0.932,0.0,-0.6808
1003,0.0,0.0,0.023,0.977,0.0,-0.296
1004,0.0,0.0,0.021,0.979,0.0,-0.5267
1005,0.0,0.0,0.077,0.923,0.0,-0.6808
1006,0.6,0.9,0.012,0.966,0.022,0.25
1007,0.0,1.0,0.009,0.978,0.013,0.296
1008,0.0,0.0,0.014,0.986,0.0,-0.296
1009,0.375,0.75,0.015,0.937,0.049,0.7574
101,-0.46666666666666673,0.7333333333333334,0.037,0.935,0.028,-0.3182
1010,0.0,0.0,0.022,0.978,0.0,-0.296
1011,0.11666666666666667,0.30416666666666664,0.036,0.959,0.005,-0.9622
1012,0.03333333333333333,0.06666666666666667,0.012,0.988,0.0,-0.296
1013,0.7,0.9,0.04,0.928,0.032,0.0258
1014,0.0,0.0,0.022,0.978,0.0,-0.8316
1015,0.0,0.0,0.027,0.973,0.0,-0.6103
1016,-1.0,1.0,0.044,0.956,0.0,-0.8796
1017,0.0,0.0,0.054,0.946,0.0,-0.5803
1018,0.0,0.0,0.05,0.95,0.0,-0.6808
1019,0.0,0.0,0.014,0.986,0.0,-0.3595
102,0.0,0.0,0.007,0.993,0.0,-0.296
1020,0.0,0.0,0.0,1.0,0.0,0.0
1021,0.20833333333333334,0.3229166666666667,0.034,0.966,0.0,-0.8975
1022,0.0,0.0,0.014,0.968,0.019,0.1779
1023,-0.08333333333333333,0.25,0.011,0.972,0.017,0.1027
1024,0.0,0.0,0.022,0.978,0.0,-0.296
1025,0.0,0.0,0.087,0.913,0.0,-0.69
1026,0.0,0.0,0.0,0.987,0.013,0.4824
1027,0.0,0.0,0.0,1.0,0.0,0.0
1028,0.0,0.0,0.02,0.969,0.011,-0.2714
1029,0.0,0.1,0.0,0.962,0.038,0.5411
103,0.0,0.0,0.014,0.986,0.0,-0.296
1030,0.0,0.0,0.0,1.0,0.0,0.0
1031,0.4166666666666667,0.5833333333333334,0.054,0.946,0.0,-0.5707
1032,0.0,0.0,0.039,0.961,0.0,-0.6189
1033,0.0,0.0,0.0,0.976,0.024,0.4574
1034,0.05000000000000002,0.5,0.023,0.977,0.0,-0.5267
1035,-0.03333333333333333,0.2333333333333333,0.012,0.988,0.0,-0.296
1036,0.0,0.25,0.025,0.975,0.0,-0.3595
1037,0.03333333333333333,0.06666666666666667,0.008,0.992,0.0,-0.296
1038,0.0,0.0,0.026,0.974,0.0,-0.3595
1039,0.0,0.0,0.022,0.964,0.014,-0.2603
104,0.0,0.0,0.02,0.98,0.0,-0.8439
1040,0.0,0.0,0.0,1.0,0.0,0.0
1041,0.0,0.0,0.0,1.0,0.0,0.0
1042,0.0,0.0,0.0,1.0,0.0,0.0
1043,0.0,1.0,0.021,0.979,0.0,-0.5707
1044,0.0,0.75,0.042,0.958,0.0,-0.4184
1045,0.625,1.0,0.016,0.984,0.0,-0.4184
1046,0.25,0.4166666666666667,0.023,0.977,0.0,-0.6808
1047,0.0,0.0,0.029,0.971,0.0,-0.686
1048,0.0,0.0,0.029,0.971,0.0,-0.4184
1049,0.0,0.0,0.102,0.898,0.0,-0.8449
105,-0.4,0.875,0.021,0.979,0.0,-0.9074
1050,0.0,0.0,0.0,1.0,0.0,0.0
1051,0.0,1.0,0.038,0.951,0.011,-0.5736
1052,0.0,0.0,0.0,1.0,0.0,0.0
1053,0.13636363636363635,0.45454545454545453,0.016,0.984,0.0,-0.765
1054,-0.26666666666666666,0.3333333333333333,0.0,0.987,0.013,0.25
1055,0.0,0.0,0.0,1.0,0.0,0.0
1056,0.3055555555555556,0.47222222222222227,0.013,0.987,0.0,-0.296
1057,0.0,0.0,0.048,0.952,0.0,-0.8516
1058,0.0,0.0,0.025,0.975,0.0,-0.296
1059,0.16727272727272727,0.2709090909090909,0.016,0.963,0.022,0.4215
106,0.325,0.95,0.052,0.937,0.011,-0.8126
1060,0.1,0.15000000000000002,0.0,1.0,0.0,0.0
1061,0.0,0.0,0.036,0.964,0.0,-0.8667
1062,0.0,0.0,0.029,0.971,0.0,-0.5106
1063,0.0,0.0,0.014,0.986,0.0,-0.3595
1064,0.13437500000000002,0.43749999999999994,0.0,0.968,0.032,0.6103
1065,0.0,0.0,0.04,0.96,0.0,-0.7825
1066,0.0,0.0,0.009,0.991,0.0,-0.296
1067,0.0,0.0,0.0,0.968,0.032,0.7088
1068,0.0,0.0,0.0,1.0,0.0,0.0
1069,0.0,0.0,0.048,0.952,0.0,-0.6808
107,0.0,0.0,0.018,0.982,0.0,-0.6808
1070,0.0,0.0,0.0,1.0,0.0,0.0
1071,-0.4,0.55,0.028,0.972,0.0,-0.6808
1072,0.0,0.0,0.026,0.974,0.0,-0.7276
1073,0.0,0.1,0.062,0.938,0.0,-0.7783
1074,0.0,0.0,0.015,0.976,0.009,-0.2023
1075,-0.3888888888888889,0.8888888888888888,0.0,0.969,0.031,0.8316
1076,0.0,0.0,0.041,0.959,0.0,-0.4588
1077,0.0,0.0,0.016,0.984,0.0,-0.5267
1078,0.0,0.0,0.048,0.952,0.0,-0.6808
1079,0.0,0.0,0.0,1.0,0.0,0.0
108,0.0,0.0,0.0,1.0,0.0,0.0
1080,0.0,0.0,0.038,0.962,0.0,-0.783
1081,0.0,0.0,0.0,1.0,0.0,0.0
1082,0.0,0.0,0.0,1.0,0.0,0.0
1083,0.0,0.0,0.0,1.0,0.0,0.0
1084,0.0,0.0,0.0,1.0,0.0,0.0
1085,0.0,0.0,0.016,0.984,0.0,-0.296
1086,0.0,0.0,0.018,0.975,0.008,-0.34
1087,-0.08750000000000002,0.95,0.02,0.958,0.022,0.2103
1088,-0.75,1.0,0.018,0.951,0.031,0.368
1089,0.0,0.0,0.0,1.0,0.0,0.0
109,0.7,0.9,0.041,0.951,0.007,-0.8793
1090,0.1875,0.6499999999999999,0.025,0.975,0.0,-0.6103
1091,0.0,0.0,0.0,1.0,0.0,0.0
1092,0.0,0.0,0.0,1.0,0.0,0.0
1093,0.0,0.0,0.0,1.0,0.0,0.0
1094,0.0,0.0,0.021,0.979,0.0,-0.296
1095,0.0,0.0,0.0,1.0,0.0,0.0
1096,0.0,0.0,0.04,0.96,0.0,-0.4184
1097,0.0,0.0,0.0,1.0,0.0,0.0
1098,-1.0,1.0,0.035,0.965,0.0,-0.7339
1099,0.0,1.0,0.023,0.977,0.0,-0.4724
11,0.0,0.0,0.0,1.0,0.0,0.0
110,0.0,0.0,0.0,0.991,0.009,0.1779
1100,0.0,0.0,0.0,1.0,0.0,0.0
1101,-0.4,0.55,0.041,0.959,0.0,-0.6808
1102,0.0,0.0,0.031,0.969,0.0,-0.7783
1103,0.0,0.0,0.021,0.979,0.0,-0.5324
1104,-0.234375,0.2,0.038,0.962,0.0,-0.6892
1105,0.0,0.0,0.0,1.0,0.0,0.0
1106,0.0,0.0,0.051,0.949,0.0,-0.8516
