,Bigram,Count,Veracity
3,Lava Jato,3776,True
10,São Paulo,2575,True
12,Ministério Público,2187,True
30,Michel Temer,1613,True
38,Estados Unidos,1393,True
39,Polícia Federal,1388,True
43,Supremo Tribunal,1325,True
44,Tribunal Federal,1301,True
69,presidente Michel,1041,True
71,pode ser,1028,True
76,ano passado,987,True
82,Operação Lava,949,True
85,Luiz Inácio,942,True
86,Inácio Lula,941,True
92,Sérgio Moro,913,True
94,Dilma Rousseff,910,True
107,Público Federal,873,True
133,Federal STF,692,True
142,delação premiada,670,True
148,expresidente Luiz,645,True
149,redes sociais,645,True
150,expresidente Lula,644,True
162,deste ano,626,True
166,Além disso,620,True
182,Eduardo Cunha,577,True
189,corrupção passiva,566,True
194,ter sido,559,True
206,deve ser,534,True
208,Gilmar Mendes,532,True
217,Joesley Batista,520,True
220,juiz Sérgio,514,True
222,Aécio Neves,507,True
229,organização criminosa,500,True
231,Instituto Lula,498,True
30007,Michel Temer,480,Fake
250,Marcelo Odebrecht,475,True
255,primeira vez,469,True
30010,Lava Jato,467,Fake
260,BBC Brasil,463,True
266,Polícia Civil,452,True
270,Donald Trump,444,True
277,Tribunal Regional,438,True
30015,Sérgio Moro,431,Fake
289,Justiça Federal,425,True
290,Porto Alegre,424,True
296,Rodrigo Janot,417,True
300,Rio Grande,416,True
316,Edson Fachin,407,True
321,governo federal,404,True
327,juiz federal,401,True
332,dois anos,398,True
333,nesta quartafeira,398,True
341,semana passada,392,True
340,Polícia Militar,392,True
356,ação penal,384,True
355,primeira instância,384,True
364,Casa Civil,377,True
365,segunda instância,375,True
30022,redes sociais,373,Fake
370,Regional Federal,370,True
382,podem ser,363,True
385,nesta terçafeira,358,True
30024,São Paulo,358,Fake
392,Rodrigo Maia,356,True
401,Segurança Pública,353,True
397,Marco Aurélio,353,True
30025,Dilma Rousseff,351,Fake
405,cada vez,350,True
417,denúncia contra,346,True
421,segurança pública,345,True
437,Renan Calheiros,338,True
460,havia sido,327,True
485,Cármen Lúcia,319,True
491,Minas Gerais,316,True
505,vai ser,311,True
508,Forças Armadas,309,True
510,nesta segundafeira,309,True
512,nesta quintafeira,308,True
523,deputado federal,303,True
30034,Polícia Federal,297,Fake
545,foro privilegiado,296,True
550,habeas corpus,295,True
557,Distrito Federal,293,True
592,Congresso Nacional,279,True
601,prisão preventiva,276,True
605,manhã desta,276,True
616,Kim Jongun,273,True
620,três anos,271,True
627,outro lado,270,True
633,República Rodrigo,269,True
637,Rocha Loures,269,True
641,Para ouvir,268,True
650,nesta sextafeira,264,True
670,então presidente,260,True
666,clique aqui,260,True
671,seis meses,260,True
678,Tribunal Superior,258,True
687,federal Sérgio,257,True
708,Procuradoria Geral,252,True
713,muitas vezes,251,True
719,todo mundo,250,True
729,Moreira Franco,249,True
740,faz parte,247,True
748,São Bernardo,246,True
753,Vara Federal,245,True
756,neste ano,244,True
762,maior parte,243,True
770,senador Aécio,240,True
776,pode ter,239,True
778,Superior Eleitoral,237,True
30051,expresidente Lula,236,Fake
783,Marisa Letícia,235,True
794,expresidente Dilma,232,True
799,Vieira Lima,231,True
810,João Santana,228,True
30052,Eduardo Cunha,228,Fake
818,disse ainda,227,True
833,últimos anos,224,True
836,Federal MPF,224,True
838,devem ser,224,True
844,ministro Edson,223,True
852,mil pessoas,221,True
867,presidente Dilma,219,True
891,Ele disse,214,True
914,governo Temer,210,True
921,precisa ser,209,True
929,Casa Branca,208,True
925,Léo Pinheiro,208,True
30059,Ministério Público,206,Fake
943,poderia ser,206,True
978,Sérgio Cabral,201,True
979,Mato Grosso,200,True
980,outros países,200,True
1000,quatro anos,198,True
1020,vai ter,195,True
1017,cinco anos,195,True
1025,contra Temer,194,True
30066,pode ser,194,Fake
1036,América Latina,192,True
1048,José Carlos,191,True
1065,duas vezes,189,True
1061,Região TRF4,189,True
1060,Geraldo Alckmin,189,True
1059,Nova York,189,True
1068,Romero Jucá,189,True
1093,Antonio Palocci,186,True
1094,armas nucleares,186,True
1111,febre amarela,184,True
1108,último dia,184,True
1124,rede social,182,True
1133,República PGR,181,True
1139,Fernando Henrique,180,True
1144,500 mil,180,True
1149,Raquel Dodge,179,True
1164,informações sobre,177,True
1183,Reino Unido,176,True
1192,dez anos,174,True
1204,presidente Temer,173,True
1203,Cristiano Zanin,173,True
1212,direitos humanos,172,True
1209,Direitos Humanos,172,True
1222,Jair Bolsonaro,171,True
1227,Roberto Teixeira,171,True
1226,contra Lula,171,True
1235,presidente americano,170,True
30081,Operação Lava,170,Fake
1233,Eliseu Padilha,170,True
30083,presidente Dilma,170,Fake
1241,Poder Judiciário,169,True
1240,ter recebido,169,True
1256,desta reportagem,168,True
1263,presidente Lula,167,True
1273,100 mil,166,True
1278,nesta terça,166,True
1286,principais notícias,165,True
1287,dia beminformado,165,True
1299,condução coercitiva,164,True
1314,Teori Zavascki,163,True
1319,Universidade Federal,162,True
30089,delação premiada,162,Fake
1336,governo Dilma,161,True
1341,Eleitoral TSE,160,True
1343,falou sobre,160,True
1346,tarde desta,160,True
1352,Superior Tribunal,159,True
1379,Nações Unidas,157,True
1384,dia seguinte,157,True
1389,Maia DEMRJ,157,True
1390,Cunha PMDBRJ,157,True
1395,Espírito Santo,156,True
1396,Belo Horizonte,156,True
1398,campanha eleitoral,155,True
1399,disse ter,155,True
1429,Justiça Eleitoral,154,True
1421,ser preso,154,True
1422,Paulo Roberto,154,True
1452,Mônica Moura,153,True
1436,Relações Exteriores,153,True
1466,Geddel Vieira,152,True
1461,Henrique Meirelles,152,True
1467,prisão domiciliar,151,True
30102,Gilmar Mendes,150,Fake
1487,neste momento,149,True
1485,deveria ser,149,True
30104,Luiz Inácio,148,Fake
30105,Renan Calheiros,148,Fake
1521,João Vaccari,148,True
1536,José Dirceu,147,True
30107,Estados Unidos,147,Fake
1530,Câmara Rodrigo,147,True
1539,falar sobre,146,True
1541,Ricardo Saud,146,True
30109,Aécio Neves,146,Fake
1552,Neves PSDBMG,145,True
1565,Andrade Gutierrez,145,True
1558,Zanin Martins,145,True
1583,medida provisória,143,True
1584,longo prazo,142,True
30111,Kim Jongun,142,Fake
1602,Conselho Nacional,141,True
1601,nesta semana,141,True
1599,Aurélio Mello,141,True
1621,desta quartafeira,140,True
1617,alguma coisa,140,True
1633,Boa noite,139,True
1638,ministro Gilmar,139,True
1660,três meses,137,True
1663,Banco Central,137,True
1676,Eunício Oliveira,137,True
1697,nesta quarta,136,True
1720,Ainda segundo,135,True
1709,muita gente,135,True
1710,noite Aqui,135,True
1714,Assembleia Legislativa,135,True
1718,qualquer tipo,135,True
1722,ser candidato,135,True
1764,Sérgio Machado,133,True
1745,empresário Joesley,133,True
1756,Rádio Eldorado,133,True
1767,Roberto Barroso,132,True
1768,chapa DilmaTemer,132,True
1774,Gleisi Hoffmann,132,True
1789,dois países,131,True
1795,Guido Mantega,131,True
1799,campanhas eleitorais,130,True
1807,ouvir clique,130,True
30126,juiz Sérgio,130,Fake
1825,policiais militares,129,True
30131,presidente Michel,129,Fake
1822,dois meses,129,True
1837,neste sábado,129,True
1818,União Europeia,129,True
1859,caixa dois,128,True
1858,noite desta,128,True
30135,Inácio Lula,128,Fake
1851,após ser,128,True
1875,crime organizado,127,True
1884,crise política,126,True
1891,ser feito,126,True
1896,outras pessoas,126,True
1915,Por outro,125,True
1903,desta quintafeira,125,True
1907,intervenção federal,125,True
30137,Sergio Moro,124,Fake
1935,Jornal Eldorado,124,True
1939,desta terçafeira,124,True
1953,poderá ser,123,True
1959,Zona Sul,123,True
1954,agentes públicos,123,True
1962,Estado Islâmico,123,True
1960,desta sextafeira,123,True
1968,Sergio Moro,122,True
1975,poderia ter,122,True
1977,deveria ter,122,True
2002,presidente nacional,122,True
1985,Carlos Bumlai,122,True
30143,último dia,122,Fake
1999,10a Vara,122,True
1994,fazem parte,122,True
1966,oito anos,122,True
30141,Donald Trump,122,Fake
2028,Herman Benjamin,121,True
2015,play Para,121,True
30144,Jair Bolsonaro,121,Fake
2023,dinheiro público,121,True
2038,afirmou ainda,120,True
2040,Caixa Econômica,120,True
2065,Lúcio Funaro,119,True
2107,Receita Federal,118,True
2105,Santa Catarina,118,True
2093,nesta quinta,118,True
2100,reforma trabalhista,118,True
2109,diz ter,118,True
2086,Gebran Neto,118,True
2120,logo após,117,True
2122,alegações finais,117,True
2126,neste domingo,117,True
2154,contas públicas,116,True
2151,Rodrigo Rocha,116,True
2139,vantagem indevida,116,True
2170,base aliada,115,True
2175,colaboração premiada,115,True
2192,Ribeirão Preto,114,True
2193,segundo turno,114,True
2209,questionado sobre,114,True
2206,aqui Abaixo,114,True
2212,13a Vara,114,True
2242,Boa Vista,113,True
2220,Luís Roberto,113,True
2247,João Doria,112,True
2276,teste nuclear,112,True
2254,pouco tempo,112,True
2262,Temer disse,112,True
2304,Vaccari Neto,111,True
2297,investigação sobre,111,True
2290,Roberto Costa,111,True
2306,Calheiros PMDBAL,111,True
2282,boa parte,111,True
2308,mil habitantes,110,True
2331,crise econômica,110,True
2329,dois dias,110,True
2327,míssil balístico,110,True
2322,comentário Eldorado,110,True
2358,deve ter,109,True
2355,Luiz Fux,109,True
30166,Supremo Tribunal,109,Fake
2359,Melo Filho,109,True
2345,vantagens indevidas,109,True
2361,sete anos,109,True
2388,delações premiadas,108,True
2372,pode fazer,108,True
2370,novo presidente,108,True
2367,Nos últimos,108,True
2386,prisão temporária,108,True
2398,vai fazer,107,True
2421,Dona Marisa,107,True
2418,Cristiane Brasil,107,True
30173,deputado federal,106,Fake
2438,povo brasileiro,106,True
2439,desta segundafeira,106,True
2435,Wesley Batista,106,True
2459,outros dois,105,True
30176,Tribunal Federal,105,Fake
2463,Henrique Cardoso,105,True
2483,últimos dias,105,True
2513,Econômica Federal,104,True
2494,Campo Grande,104,True
2519,vídeo acima,104,True
2578,líder nortecoreano,102,True
2564,7h30m Para,102,True
2579,Ficha Limpa,102,True
2575,Justiça STJ,102,True
2560,opinião pública,102,True
2572,Ele afirmou,102,True
2565,quer dizer,102,True
2603,afirmou nesta,101,True
2617,decisão judicial,101,True
2614,nota divulgada,101,True
2591,após ter,101,True
2612,ter feito,101,True
2623,Carne Fraca,101,True
2648,deverá ser,100,True
2638,Lula disse,100,True
2634,diz respeito,100,True
2651,Câmara Eduardo,100,True
30190,juiz federal,99,Fake
2656,Por meio,99,True
2720,programa nuclear,98,True
2716,nesta sexta,98,True
30192,dinheiro público,98,Fake
2704,classe média,98,True
2768,saúde pública,97,True
2766,Região Metropolitana,97,True
2744,São Francisco,97,True
2734,primeiro lugar,97,True
2749,ministra Cármen,97,True
2754,Fachin relator,97,True
2751,Suprema Corte,97,True
30201,foro privilegiado,96,Fake
2794,Veja abaixo,96,True
30203,Casa Civil,96,Fake
30204,Teori Zavascki,96,Fake
2778,União Soviética,96,True
2820,Nestor Cerveró,95,True
2822,segunda denúncia,95,True
2804,grande parte,95,True
2815,administração pública,95,True
2834,eleição presidencial,95,True
2833,três vezes,95,True
2839,cofres públicos,95,True
2870,ministro Luiz,94,True
2867,seis anos,94,True
2859,precisam ser,94,True
2907,desse tipo,93,True
2885,Não sei,93,True
2896,Dias Toffoli,93,True
30210,Rodrigo Janot,93,Fake
2953,final desta,92,True
2926,José Eduardo,92,True
2954,ministro Teori,92,True
2948,Desenvolvimento Econômico,92,True
2946,Luiz Edson,92,True
2933,2017 Boa,92,True
2977,haviam sido,91,True
3010,comunidade internacional,91,True
3003,dias após,91,True
2980,regime fechado,91,True
2984,Luiz Fernando,91,True
2990,Renato Duque,91,True
3011,Leia abaixo,91,True
30217,vídeo abaixo,90,Fake
3044,300 milhões,90,True
3039,Por fim,90,True
3028,Mesmo assim,90,True
3025,Ele diz,90,True
3017,Constituição Federal,90,True
3076,Grupo Odebrecht,89,True
3089,duas horas,89,True
3046,Agência Nacional,89,True
3100,servidores públicos,89,True
3054,operação Lava,89,True
3084,Rio Branco,89,True
3068,cinco dias,89,True
3083,Rosa Weber,89,True
3103,dias antes,89,True
3139,quatro meses,88,True
3148,ter acesso,87,True
3175,deputado estadual,87,True
3165,reforma política,87,True
3172,José Sarney,87,True
3149,Barack Obama,87,True
3159,próximos dias,87,True
3181,Torquato Jardim,87,True
