,Word,Count
367,ser,9544
2881,Lula,8419
112,presidente,8248
178,anos,8083
384,disse,7979
167,sobre,7928
354,governo,6260
576,ainda,6138
15,Federal,5790
352,Brasil,5582
507,ter,5582
3631,Temer,5511
83,diz,5364
213,contra,4943
1809,pessoas,4735
483,ano,4630
126,dia,4485
275,expresidente,4443
667,afirmou,4353
436,vai,4246
412,pode,4233
1800,caso,4066
603,Lava,3902
286,São,3879
1079,Ele,3794
604,Jato,3789
584,país,3772
704,milhões,3722
394,porque,3710
505,Justiça,3691
2852,Mas,3631
287,Paulo,3617
563,ministro,3616
148,dois,3596
297,Não,3573
12,após,3479
156,acordo,3470
16,fazer,3392
273,processo,3383
157,segundo,3362
913,Segundo,3287
639,dinheiro,3270
1246,Ministério,3251
720,Rio,3159
621,defesa,3150
788,mil,3133
518,decisão,3050
7577,Odebrecht,2989
208,parte,2859
1228,outros,2844
572,nesta,2787
526,empresa,2777
96,todos,2765
3123,República,2699
1474,Para,2682
23,Câmara,2678
545,prisão,2676
252,onde,2668
370,Tribunal,2646
229,Estado,2608
2712,qualquer,2547
276,Dilma,2538
541,STF,2533
597,corrupção,2527
490,política,2490
477,vez,2490
269,durante,2460
14,Polícia,2458
359,forma,2368
2756,juiz,2367
629,três,2352
207,maior,2325
636,sido,2318
1394,conta,2314
1769,apenas,2305
38,meio,2301
743,Público,2270
1050,desde,2257
66,hoje,2240
162,momento,2237
369,Supremo,2207
2744,Moro,2182
3328,pedido,2161
3757,gente,2154
935,tempo,2153
643,denúncia,2138
5408,afirma,2126
321,menos,2108
185,grupo,2096
503,dias,2091
1505,ação,2089
5794,Norte,2083
2228,mundo,2076
10927,Coreia,2076
685,havia,2051
696,antes,2051
2601,então,2036
476,primeira,2017
470,relação,2012
402,fez,1990
443,outro,1985
1516,vida,1972
1886,Silva,1924
454,bem,1893
796,2017,1879
2068,segurança,1872
834,todo,1866
3928,crime,1853
631,delação,1852
37,Por,1852
909,trabalho,1848
1113,tudo,1844
738,sendo,1838
295,deve,1833
1738,casa,1831
1300,fim,1822
1177,agora,1818
124,duas,1817
2813,Trump,1817
486,sempre,1814
340,grande,1812
6,deputado,1810
905,têm,1810
1906,meses,1791
2145,primeiro,1786
750,cidade,1783
1135,Luiz,1769
533,campanha,1749
7,federal,1742
640,nome,1738
40,nota,1730
1716,Estados,1727
279,família,1726
577,outras,1704
3630,Michel,1700
1070,novo,1686
610,Operação,1666
241,cada,1652
748,recursos,1643
8477,empresas,1640
2500,lei,1633
2328,2016,1630
2746,EUA,1618
556,senador,1593
870,projeto,1592
61,semana,1589
82,Senado,1588
2520,público,1587
11,partido,1584
1983,José,1582
833,assim,1571
408,faz,1562
1470,além,1558
24,Com,1557
68,Nacional,1547
335,situação,1533
358,poder,1528
2272,valor,1526
366,fato,1518
1009,feito,1511
2529,aqui,1506
2552,desta,1501
1234,Sul,1497
282,nunca,1496
75,passado,1495
3866,propina,1487
3803,Sérgio,1486
383,2014,1469
411,disso,1469
90,crimes,1462
995,reforma,1462
249,exemplo,1461
2953,julgamento,1458
1221,estado,1453
305,vezes,1446
85,investigação,1445
1210,Isso,1435
463,político,1431
2779,Unidos,1425
661,advogado,1416
3134,políticos,1412
1001,Além,1406
4486,mulher,1401
1563,dentro,1396
1057,todas,1391
1724,Como,1388
1034,cerca,1376
348,alguns,1370
602,investigações,1367
811,sistema,1367
2229,países,1366
2826,Uma,1365
34,PMDB,1363
1090,local,1361
2617,pública,1355
4689,depoimento,1354
76,chegou,1347
3811,preso,1342
150,quatro,1338
2581,casos,1336
427,podem,1335
634,Joesley,1330
4778,dizer,1324
41,informou,1318
312,final,1316
617,outra,1314
182,nova,1310
1852,João,1308
1460,Ela,1304
2108,início,1303
1868,possível,1303
2767,Eduardo,1292
3336,crise,1292
6236,polícia,1287
2479,operação,1282
552,Aécio,1277
3582,segunda,1274
613,partir,1271
5781,Casa,1264
1699,base,1260
232,nada,1243
419,direito,1242
5027,história,1240
418,Congresso,1232
3618,PSDB,1230
2717,lado,1209
1585,dar,1204
3478,Rodrigo,1201
214,pessoa,1195
1631,questão,1193
1043,região,1193
2780,pouco,1188
487,recebeu,1185
1948,época,1185
1953,2015,1185
1510,informações,1184
741,ações,1175
1143,próprio,1174
662,Marcelo,1166
537,deste,1158
633,empresário,1157
105,cargo,1148
1311,número,1147
236,área,1146
1911,coisa,1145
939,apoio,1143
1430,tipo,1142
1054,neste,1139
2312,bilhões,1138
4673,Cunha,1137
3117,Brasília,1132
3666,ver,1126
700,pediu,1126
718,apartamento,1122
791,Instituto,1118
1013,pagamento,1118
644,ficou,1117
7568,MPF,1115
4028,quer,1108
371,sob,1105
204,Foi,1097
648,entrevista,1095
2112,mês,1094
615,JBS,1088
5942,mulheres,1087
441,melhor,1087
3428,filho,1087
2003,noite,1086
4068,poderia,1086
746,população,1082
5334,Janot,1081
6101,violência,1080
3289,2018,1079
2768,líder,1078
1144,problema,1076
1746,mãe,1073
1610,Quando,1071
3612,petista,1066
1114,passou,1064
8,Carlos,1061
1052,cinco,1061
5516,Civil,1061
1314,sociedade,1060
1266,entanto,1057
3874,Petrobras,1056
177,quase,1051
1676,sociais,1049
933,importante,1036
1307,medida,1033
1592,Fernando,1028
3825,relator,1026
2090,lavagem,1022
3801,pena,1018
3916,provas,1016
578,medidas,1015
317,responsável,1014
959,mesma,1014
