,Word,Count
765,Lula,2964
19,disse,2170
114,Dilma,1833
845,presidente,1653
164,ser,1613
146,Brasil,1352
1079,Temer,1140
58,país,1122
491,sobre,1085
975,anos,1079
336,governo,1056
776,expresidente,1011
158,contra,916
958,acordo,884
154,ainda,845
479,milhões,820
272,Moro,819
4,vai,817
244,pode,815
254,Federal,799
1550,ministro,781
185,ter,777
539,Não,765
2,diz,758
993,hoje,731
384,dinheiro,703
317,Ele,697
671,vídeo,684
53,pessoas,680
1999,dia,669
952,durante,665
1727,EUA,651
402,petista,618
270,juiz,588
698,Paulo,583
893,mil,578
888,Sérgio,572
846,STF,558
777,deputado,550
137,fazer,541
1953,Michel,538
657,mundo,534
697,São,520
2910,Norte,501
300,senador,498
1186,informou,498
2318,Cunha,491
274,Lava,491
840,tudo,491
142,parte,490
345,fez,488
558,caso,485
1214,Jato,469
100,todos,466
933,após,462
1198,afirmou,459
691,Globo,452
40,porque,449
2027,impeachment,445
43,onde,439
983,políticos,435
136,vez,435
353,sendo,434
371,prisão,433
328,República,431
253,Polícia,428
537,sociais,428
432,corrupção,422
246,outros,421
470,Câmara,421
3103,Odebrecht,420
830,ano,419
1651,Eduardo,415
1075,redes,412
506,qualquer,411
308,delação,407
2066,dois,406
279,jornalista,404
864,todo,403
559,processo,401
1240,Justiça,399
1508,vida,395
1046,pra,393
105,momento,387
152,bem,386
907,agora,385
661,política,384
1056,LavaJato,383
2132,preso,383
1066,Ministério,381
1148,grupo,379
2028,Rousseff,377
759,poderá,377
2339,informações,377
850,José,373
118,Bolsonaro,370
1248,federal,365
1942,apenas,365
1213,Operação,363
1644,Uma,360
2904,Trump,358
2141,jornal,355
157,povo,352
2903,Kim,349
2909,Coréia,349
664,faz,341
5750,Coreia,337
799,Silva,333
156,maior,325
264,Aécio,321
2876,Brasília,318
826,nome,317
1118,abaixo,317
665,nada,315
1673,fato,314
751,dias,314
290,família,311
1829,empresa,310
2214,Estado,308
1166,filho,306
1093,conta,305
2222,através,305
3798,Petrobras,304
782,político,303
917,casa,301
1757,quer,300
2330,sido,293
1185,defesa,292
3614,Renan,289
2538,poder,289
122,entrevista,289
1761,grande,288
385,público,287
788,cargo,287
1491,semana,285
593,alguns,284
2382,Rio,283
110,situação,283
3152,gente,283
103,tempo,281
1159,assim,279
351,menos,278
4502,campanha,277
2307,homem,277
632,outro,276
1128,ontem,275
1649,aqui,275
2070,novo,273
551,brasileiro,273
2282,informação,273
866,dizer,272
887,decisão,272
5403,guerra,271
856,porém,270
700,última,270
2315,local,268
161,pouco,267
89,dentro,267
1189,pedido,267
1539,leia,266
972,desde,265
