,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,ID,Veracity,Author,Link,Category,Date,Tokens,Words,Types,Links Inside,Words Uppercase,Verbs,Subjuntive\Imperative Verbs,Nouns,Adjectives,Adverbs,Modal Verbs,Singular\Second Personal Pronouns,Plural First Personal Pronouns,Pronouns,Pausality,Characters,Average Sentence Length,Average Word Length,Percentage of Spelling Errors,Emotiveness,Diversity
0,0,0,0,0,1,1,true-meta-information,Naira Trindade,http://politica.estadao.com.br/blogs/coluna-do-estadao/podemos-expulsa-gaguim-e-abre-espaco-para-katia-abreu/,politica,2017-12-13 00:00:00,168,148,107,None,0,24,2,43,5,4,3,0,0,7,3.33333,761,24.6667,5.14189,0.0,0.134328,0.722973
1,1,1,1,1,10,10,true-meta-information,Marco Rodrigo Almeida,http://www1.folha.uol.com.br/poder/2018/01/1949909-bolsonaro-e-um-liberal-completo-diz-presidente-do-psl.shtml,politica,2018-12-01 00:00:00,1028,865,474,None,9,135,2,237,56,45,14,3,1,63,2.85965,4205,15.1754,4.861269999999998,0.00115607,0.271505,0.547977
2,2,2,2,2,100,100,true-meta-information,"Fernando Zuba , Pedro Ângelo E Renan Ramalho",https://g1.globo.com/mg/minas-gerais/noticia/stf-suspende-prisao-domiciliar-de-andrea-neves-primo-de-aecio-e-ex-assessor-de-zeze-perrella.ghtml,politica,2017-07-12 00:00:00,540,476,232,None,8,69,0,146,10,20,7,0,0,19,3.04762,2399,22.6667,5.0399199999999995,0.0,0.139535,0.48739499999999997
3,3,3,3,3,1000,1000,true-meta-information," Por Anderson Viegas, G1 MS ",https://g1.globo.com/mato-grosso-do-sul/noticia/apesar-da-abundancia-cresce-a-preocupacao-com-a-preservacao-de-fontes-e-uso-racional-da-agua-em-campo-grande.ghtml,politica,2017-10-31 00:00:00,8634,7588,2199,0,52,1053,29,2170,443,278,174,0,2,384,3.36334,37381,24.3987,4.92633,0.00250395,0.22370500000000001,0.2898
4,4,4,4,4,1001,1001,true-meta-information, Por BBC ,https://g1.globo.com/educacao/noticia/por-que-harvard-e-mit-levarao-dilma-moro-e-suplicy-aos-eua.ghtml,politica,2017-05-04 00:00:00,955,823,452,0,10,96,1,262,36,50,8,0,0,33,3.1428599999999998,4239,19.5952,5.15067,0.0,0.240223,0.5492100000000001
5,5,5,5,5,1002,1002,true-meta-information," Por G1, São Paulo ",https://g1.globo.com/economia/midia-e-marketing/noticia/renata-lo-prete-e-a-titular-do-jornal-da-globo-e-heraldo-pereira-do-jornal-das-dez.ghtml,tv_celebridades,2017-12-22 00:00:00,925,812,379,0,9,89,0,227,43,40,6,1,0,57,2.51111,3933,18.0444,4.8436,0.00123153,0.262658,0.46674899999999997
6,6,6,6,6,1003,1003,true-meta-information," Por G1, São Paulo ",https://g1.globo.com/economia/midia-e-marketing/noticia/dony-de-nuccio-assume-a-bancada-do-jornal-hoje-ao-lado-de-sandra-annenberg.ghtml,sociedade_cotidiano,2017-07-28 00:00:00,522,451,221,0,2,61,3,126,25,14,10,1,0,23,2.84,2188,18.04,4.85144,0.0,0.208556,0.490022
7,7,7,7,7,1004,1004,true-meta-information, Por BBC ,https://g1.globo.com/politica/noticia/as-6-eleicoes-presidenciais-que-podem-mudar-radicalmente-o-mapa-politico-da-america-latina-em-2018.ghtml,politica,2018-06-01 00:00:00,1905,1693,742,0,7,195,6,479,102,81,31,0,0,105,3.41935,8374,27.3065,4.94625,0.00236267,0.271513,0.438275
8,8,8,8,8,1005,1005,true-meta-information, Por G1 Ribeirão e Franca ,https://g1.globo.com/sp/ribeirao-preto-franca/pode-perguntar/noticia/equipamento-de-protecao-individual-epi-x-aposentadoria-especial-entenda-as-diferencas.ghtml,politica,2018-03-21 00:00:00,637,569,256,0,14,101,6,139,36,45,11,0,0,47,2.0,2653,16.7353,4.66257,0.0,0.3375,0.449912
9,9,9,9,9,1006,1006,true-meta-information," Por Renan Ramalho e Filipe Matoso, G1, Brasília ",https://g1.globo.com/politica/noticia/julgamento-recurso-de-lula-no-trf-4-decisao-desembargadores-da-8-turma.ghtml,politica,2018-01-24 00:00:00,2960,2584,945,0,39,386,13,774,113,111,52,0,3,113,3.21368,12950,22.0855,5.01161,0.000386997,0.193103,0.365712
10,10,10,10,10,1007,1007,true-meta-information," Por Letícia Macedo, G1, Santiago de Cuba ",https://g1.globo.com/mundo/noticia/fidel-castro-e-enterrado-em-santiago-de-cuba.ghtml,sociedade_cotidiano,2016-04-12 00:00:00,1453,1257,608,0,7,196,0,373,60,45,27,2,0,76,2.45,5957,15.7125,4.73906,0.000795545,0.184534,0.483691
11,11,11,11,11,1008,1008,true-meta-information, Por G1 ,https://g1.globo.com/resumo-do-dia/noticia/quarta-feira-8-de-fevereiro-de-2017a.ghtml,politica,2017-08-02 00:00:00,683,610,360,None,10,85,3,189,28,20,10,0,0,28,2.28125,2862,19.0625,4.6918,0.00819672,0.175182,0.590164
12,12,12,12,12,1009,1009,true-meta-information, Estado da Arte ,http://cultura.estadao.com.br/blogs/estado-da-arte/o-interlocutor-fraterno-czeslaw-milosz-escreve-sobre-albert-camus/,tv_celebridades,2017-11-16 00:00:00,2168,1886,928,None,0,295,8,431,134,123,20,27,11,252,3.27907,9109,21.9302,4.8298,0.00371156,0.35399400000000003,0.492047
13,13,13,13,13,101,101,true-meta-information,Jornal Hoje,https://g1.globo.com/politica/noticia/relatorio-final-de-cpi-recomenda-investigacao-de-rodrigo-janot.ghtml,politica,2010-12-14 00:00:00,371,329,193,None,21,45,0,104,10,16,3,1,0,10,2.8,1642,21.9333,4.9908800000000015,0.0182371,0.174497,0.586626
14,14,14,14,14,1010,1010,true-meta-information," Luiz Carlos Merten, O Estado de S. Paulo ","http://cultura.estadao.com.br/noticias/cinema,mostra-celebra-cinema-de-luis-bunuel-o-mais-iconoclasta-dos-surrealistas,1643518",politica,2015-03-03 00:00:00,1649,1388,703,None,4,188,2,410,86,57,13,0,0,84,2.96591,6652,15.7727,4.79251,0.00216138,0.23913,0.506484
15,15,15,15,15,1011,1011,true-meta-information," Por Bárbara Muniz Vieira, TV Globo, São Paulo ",https://g1.globo.com/sp/sao-paulo/carnaval/2018/noticia/livia-andrade-madrinha-da-imperio-de-casa-verde-promete-inovar-na-fantasia-mais-personagem-que-so-a-beleza.ghtml,tv_celebridades,2018-07-02 00:00:00,2265,2003,673,0,0,413,9,434,82,160,39,49,0,257,1.7945200000000001,8720,13.7192,4.35347,0.000998502,0.28571399999999997,0.335996
16,16,16,16,16,1012,1012,true-meta-information," Carla Araújo e Bernardo Gonzaga, O Estado de S.Paulo ","http://politica.estadao.com.br/noticias/geral,temer-revoga-decreto-que-convocou-forcas-armadas,70001813153",politica,2017-05-25 00:00:00,1055,932,435,0,14,150,8,272,31,48,25,0,0,34,3.61765,4700,27.4118,5.04292,0.00107296,0.187204,0.466738
17,17,17,17,17,1013,1013,true-meta-information," Matheus Lara, O Estado de S.Paulo ","http://esportes.estadao.com.br/noticias/futebol,dorival-exalta-reacao-do-sao-paulo-em-2017-mas-alerta-time-grande-cai-sim,70002195796",politica,2018-02-20 00:00:00,1846,1615,663,0,6,334,11,388,83,122,53,5,0,145,1.94118,7651,13.5714,4.73746,0.00185759,0.283934,0.410526
18,18,18,18,18,1014,1014,true-meta-information," Fabiana Cambricoli , O Estado de S. Paulo ","http://viagem.estadao.com.br/noticias/geral,nova-york-a-metropole-para-todos-os-gostos,1621920",tv_celebridades,2015-01-20 00:00:00,4839,4173,1748,0,34,528,45,1229,317,188,34,0,0,210,2.72951,19741,17.1025,4.73065,0.0208483,0.28742199999999996,0.418883
19,19,19,19,19,1015,1015,true-meta-information," Por Samuel Nunes, José Vianna, Erick Gimenes e Bibiana Dionisio, G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/ex-presidente-lula-e-denunciado-na-lava-jato-por-caso-envolvendo-sitio-em-atibaia.ghtml,politica,2017-05-22 00:00:00,1263,1115,490,None,13,166,5,316,46,43,27,2,0,55,3.08333,5393,23.2292,4.83677,0.0008968610000000002,0.184647,0.43946199999999996
20,20,20,20,20,1016,1016,true-meta-information," Por Kleber Tomaz, G1 SP, São Paulo ",https://g1.globo.com/sp/sao-paulo/noticia/avo-paterno-de-isabella-nardoni-diz-que-chora-ao-lembrar-da-neta-sao-dez-anos-de-sofrimento.ghtml,tv_celebridades,2018-03-29 00:00:00,1529,1311,536,0,10,269,2,345,32,88,39,12,1,114,2.53488,5948,15.2442,4.53699,0.0,0.19544,0.408848
21,21,21,21,21,1017,1017,true-meta-information," Por Gabriel Barreira, G1 Rio ",https://g1.globo.com/rio-de-janeiro/noticia/maia-diz-acreditar-em-condicoes-de-votar-a-reforma-mesmo-apos-eventual-segunda-denuncia-contra-temer.ghtml,politica,2017-08-31 00:00:00,535,460,223,0,1,76,13,118,34,24,16,2,0,21,3.26087,2257,20.0,4.9065199999999995,0.00217391,0.298969,0.484783
22,22,22,22,22,1018,1018,true-meta-information," Por Henrique Coelho, G1 Rio ",https://g1.globo.com/rj/rio-de-janeiro/noticia/novo-secretario-de-seguranca-do-rio-comandou-3-meses-de-ocupacao-da-mare-intervencao-baixou-mortes-mas-moradores-relatam-receio.ghtml,sociedade_cotidiano,2018-02-27 00:00:00,2344,2043,834,0,9,313,9,600,81,92,52,6,0,107,2.83962,9733,19.2736,4.764069999999999,0.00195791,0.189485,0.408223
23,23,23,23,23,1019,1019,true-meta-information, José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/instituicoes-de-muletas/,politica,2017-10-16 00:00:00,1561,1397,657,0,5,215,9,374,85,89,32,0,1,90,3.03704,6661,25.8704,4.76807,0.00143164,0.295416,0.470293
24,24,24,24,24,102,102,true-meta-information,G1 Presidente Prudente,https://g1.globo.com/sp/presidente-prudente-regiao/noticia/rapaz-e-preso-em-flagrante-apos-arrombar-a-casa-da-propria-mae-e-furtar-r-50.ghtml,politica,2018-03-01 00:00:00,173,155,94,None,2,30,0,38,7,9,7,0,0,9,2.0,709,17.2222,4.57419,0.0,0.235294,0.606452
25,25,25,25,25,1020,1020,true-meta-information," Por G1, Brasília ",https://g1.globo.com/politica/eleicoes/2018/noticia/ppl-anuncia-pre-candidatura-de-joao-goulart-filho-a-presidencia-da-republica.ghtml,politica,2018-03-13 00:00:00,471,421,230,None,6,43,2,127,24,14,6,1,0,21,3.125,2043,26.3125,4.85273,0.0023753,0.223529,0.5463180000000001
26,26,26,26,26,1021,1021,true-meta-information, José Nêumanne ,http://politica.estadao.com.br/blogs/neumanne/um-juiz-contra-os-outros/,sociedade_cotidiano,2017-12-21 00:00:00,2352,2102,875,0,31,286,10,604,101,101,33,8,0,114,3.08642,9968,25.9506,4.74215,0.000951475,0.22696599999999997,0.41627
27,27,27,27,27,1022,1022,true-meta-information," Por Fernanda Calgaro, G1, Brasília ",https://g1.globo.com/politica/noticia/cunha-diz-que-nao-recebeu-dinheiro-da-jbs-para-ficar-em-silencio.ghtml,politica,2017-06-11 00:00:00,1405,1229,520,0,13,222,9,343,25,59,21,10,0,96,2.37838,5906,16.6081,4.80553,0.00162734,0.148673,0.423108
28,28,28,28,28,1023,1023,true-meta-information, Por BBC ,https://g1.globo.com/pe/pernambuco/noticia/e-possivel-fazer-policiamento-ignorando-varejo-de-drogas-e-focando-em-homicidios-diz-sociologo.ghtml,sociedade_cotidiano,2018-10-03 00:00:00,2358,2069,803,0,17,271,17,610,202,111,28,0,0,109,3.5679,10848,25.5432,5.24311,0.000966651,0.35527800000000004,0.38811
29,29,29,29,29,1024,1024,true-meta-information," Por Samuel Nunes e José Vianna, G1 PR, Curitiba ",https://g1.globo.com/pr/parana/noticia/marcelo-odebrecht-deixa-a-prisao-no-parana-apos-dois-anos-e-meio.ghtml,tv_celebridades,2017-12-19 00:00:00,1022,910,423,0,6,130,5,263,38,29,22,0,0,47,2.8,4450,22.75,4.89011,0.0,0.170483,0.4648350000000001
