,TextBlob Polarity,TextBlob Subjectivity,VADER negative,VADER neutral,VADER positive,VADER compound
1,0.0,0.0,0.03,0.97,0.0,-0.5267
10,0.19583333333333333,0.7416666666666666,0.028,0.964,0.007,-0.9236
100,0.0,0.0,0.005,0.989,0.006,0.1779
1000,0.025833333333333333,0.39346153846153853,0.014,0.983,0.003,-0.9959
1001,0.2333333333333333,0.7166666666666667,0.033,0.963,0.003,-0.9622
1002,0.1,0.1,0.037,0.961,0.002,-0.9716
1003,0.9,1.0,0.021,0.971,0.007,-0.6458
1004,0.004166666666666652,0.3770833333333333,0.022,0.971,0.007,-0.9614
1005,0.0,0.4000000000000001,0.0,0.99,0.01,0.7003
1006,0.33333333333333337,0.6466666666666667,0.033,0.96,0.007,-0.9946
1007,0.016666666666666673,0.4166666666666667,0.021,0.977,0.002,-0.9522
1008,-0.050000000000000044,0.95,0.039,0.951,0.01,-0.92
1009,0.2558333333333333,0.5816666666666667,0.024,0.969,0.006,-0.9782
101,0.0,1.0,0.0,1.0,0.0,0.0
1010,0.1,0.525,0.017,0.978,0.005,-0.8934
1011,0.32261904761904764,0.4428571428571429,0.022,0.973,0.005,-0.9807
1012,0.036666666666666674,0.31333333333333335,0.019,0.978,0.003,-0.8934
1013,0.28750000000000003,0.7625,0.028,0.968,0.004,-0.9853
1014,0.032776603241719514,0.32099365750528536,0.025,0.967,0.008,-0.995
1015,0.03333333333333333,0.06666666666666667,0.023,0.971,0.006,-0.9269
1016,-0.6555555555555556,0.688888888888889,0.03,0.955,0.015,-0.9642
1017,-0.4,1.0,0.029,0.971,0.0,-0.891
1018,0.014285714285714289,0.5714285714285714,0.024,0.972,0.005,-0.9834
1019,0.08229166666666667,0.42083333333333334,0.04,0.957,0.003,-0.9913
102,0.0,0.0,0.063,0.937,0.0,-0.8442
1020,0.0,0.25,0.005,0.995,0.0,-0.296
1021,0.16999999999999998,0.6900000000000001,0.03,0.967,0.003,-0.9924
1022,-0.8,1.0,0.018,0.982,0.0,-0.9501
1023,-0.06833333333333334,0.45833333333333337,0.027,0.969,0.004,-0.9914
